time,violation
2025-06-04 11:02:17,With Helmet,
2025-06-04 11:02:17,With Helmet,
2025-06-04 11:02:17,With Helmet,
2025-06-04 11:02:17,With Helmet,
2025-06-04 11:02:17,With Helmet,
2025-06-04 11:02:17,With Helmet,
2025-06-04 11:02:17,With Helmet,
2025-06-04 11:02:17,With Helmet,
2025-06-04 11:02:17,With Helmet,
2025-06-04 11:02:17,With Helmet,
2025-06-04 11:02:17,With Helmet,
2025-06-04 11:02:17,With Helmet,
2025-06-04 11:02:17,With Helmet,
2025-06-04 11:02:17,With Helmet,
2025-06-04 11:02:17,With Helmet,
2025-06-04 11:02:17,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:18,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,No Helmet,20250604_110219_237290.jpg
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:19,With Helmet,
2025-06-04 11:02:20,With Helmet,
2025-06-04 11:02:20,With Helmet,
2025-06-04 11:02:20,With Helmet,
2025-06-04 11:02:20,With Helmet,
2025-06-04 11:02:20,With Helmet,
2025-06-04 11:02:20,With Helmet,
2025-06-04 11:02:20,With Helmet,
2025-06-04 11:02:20,With Helmet,
2025-06-04 11:02:20,With Helmet,
2025-06-04 11:02:20,With Helmet,
2025-06-04 11:02:20,With Helmet,
